date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643687400,reversed_TUSD,2.593638789631773e-05,2.590861513270393e-05,2.593638789631773e-05,2.5911609281953032e-05,9336874.41,242.038877,2.592290734738148e-05
1643687700,reversed_TUSD,2.5911609281953032e-05,2.5872605361010813e-05,2.5911609281953032e-05,2.589950267774958e-05,6872366.88,177.979196,2.589780570482044e-05
1643688000,reversed_TUSD,2.590950793439816e-05,2.589950267774958e-05,2.589950267774958e-05,2.590727940145894e-05,6105021.71,158.149024,2.5904749273112737e-05
1643688300,reversed_TUSD,2.591985012105866e-05,2.5865859651845528e-05,2.590727940145894e-05,2.587310072035887e-05,562638442.52,14553.651025,2.5866796345539014e-05
1643688600,reversed_TUSD,2.587310072035887e-05,2.587310072035887e-05,2.587310072035887e-05,2.587310072035887e-05,7748098.36,200.467302,2.587310072035887e-05
1643688900,reversed_TUSD,2.5918694610129697e-05,2.588129698425951e-05,2.588214101211595e-05,2.5913946004665544e-05,10388764.99,269.149359,2.5907735816745256e-05
1643689200,reversed_TUSD,2.592870125728272e-05,2.5913946004665544e-05,2.5913946004665544e-05,2.591581299978645e-05,12863694.76,333.453452,2.5922060658658825e-05
1643689500,reversed_TUSD,2.5947949969238704e-05,2.5914738437362e-05,2.591581299978645e-05,2.5930839339780083e-05,10384356.63,269.282431,2.593155211230644e-05
1643689800,reversed_TUSD,2.5975280883699835e-05,2.592892984046448e-05,2.5930839339780083e-05,2.5953485643959184e-05,10991639.05,285.366581,2.596215081880729e-05
1643690100,reversed_TUSD,2.595541223553706e-05,2.5928566798470212e-05,2.5953485643959184e-05,2.5928566798470212e-05,7661604.01,198.741474,2.593993349001053e-05
1643690400,reversed_TUSD,2.5941514854759945e-05,2.5928566798470212e-05,2.5928566798470212e-05,2.59333207643172e-05,3689023.16,95.684139,2.593753153031177e-05
1643690700,reversed_TUSD,2.5955392025050068e-05,2.5931531938960287e-05,2.5931531938960287e-05,2.595314885662105e-05,4589937.18,119.094896,2.5946960261711417e-05
1643691000,reversed_TUSD,2.5947949969238704e-05,2.5914550398099323e-05,2.5947424808903706e-05,2.5917021989038136e-05,5292674.29,137.279948,2.593773335854481e-05
1643691300,reversed_TUSD,2.594234262466982e-05,2.591557793164144e-05,2.5926886180969666e-05,2.592611989171178e-05,5400426.26,140.025203,2.5928546629768617e-05
1643691600,reversed_TUSD,2.593810338513e-05,2.5921959866066416e-05,2.593810338513e-05,2.5924453032927684e-05,3901298.13,101.149554,2.5927155065129012e-05
1643691900,reversed_TUSD,2.597302753037026e-05,2.5924453032927684e-05,2.5951054235627267e-05,2.597302753037026e-05,6652261.75,172.650859,2.5953714664341907e-05
1643692200,reversed_TUSD,2.5983069431958137e-05,2.593490132288745e-05,2.597302753037026e-05,2.593555377983464e-05,5561440.82,144.393972,2.5963411322228263e-05
